,1,2,3,4,5,6,7,8,9,10,11,12
A,0.037,0.034,0.034,0.035,0.036,0.036,0.036,0.036,0.035,0.036,0.035,0.038
B,2.696,2.287,2.364,2.268,0.035,0.035,0.035,0.034,0.034,0.036,0.034,0.038
C,0.033,0.034,0.035,0.042,0.035,0.034,0.034,0.034,0.035,0.036,0.034,0.035
D,0.035,0.035,0.033,0.035,0.035,0.034,0.035,0.033,0.034,0.034,0.034,0.035
E,0.034,0.035,0.034,0.033,0.035,0.033,0.034,0.033,0.083,0.037,0.034,0.036
F,0.038,0.037,0.037,0.037,0.038,0.038,0.037,0.037,0.038,0.038,0.037,0.038
G,0.038,0.037,0.041,0.038,0.039,0.037,0.038,0.037,0.038,0.038,0.037,0.038
H,0.038,0.037,0.038,0.038,0.038,0.039,0.038,0.038,0.038,0.038,0.038,0.038



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Absorbance %CV



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Dilution Factor,Absorbance %CV
1,Sample 1,,,,1,,,,,,



Protocol
Assay
Sample Wavelength (nm),600
Serial No.,OPTMAA00048
Measurement started at,02 18 19:29:07 2026
Measurement finished at,02 18 19:29:12 2026
