trial_index,drug_name,well_slot,deep_well_slot,rack_1000,well_1000,well_50,replicates,s1,s2,s3,s4,s5,s6,s7,s8,original_total_vol,reported_vol,success,absorbance,prior_best_vol,is_new_record,status
0,IBP,A1,A1,0,A1,A1,2,0.0,0.0,0.0,0.0,620.0,0.0,170.0,0.0,790.0,790.0,1,0.0345,1200.0,True,COMPLETED
1,IBP,A3,A3,0,A1,A1,2,0.0,0.0,0.0,0.0,620.0,0.0,170.0,0.0,790.0,790.0,1,0.034,1200.0,True,COMPLETED
2,IBP,A5,A5,0,A1,A1,2,0.0,0.0,640.0,0.0,0.0,0.0,0.0,395.0,1035.0,1035.0,1,0.035,1200.0,True,COMPLETED
3,IBP,A7,A7,0,A1,A1,2,0.0,0.0,640.0,0.0,0.0,0.0,0.0,395.0,1035.0,1035.0,1,0.0355,1200.0,True,COMPLETED
4,IBP,A9,A9,0,A1,A1,2,0.0,0.0,185.0,0.0,640.0,0.0,0.0,0.0,825.0,825.0,1,0.035,1200.0,True,COMPLETED
5,IBP,A11,A11,0,A1,A1,2,0.0,0.0,185.0,0.0,640.0,0.0,0.0,0.0,825.0,825.0,1,0.036,1200.0,True,COMPLETED
6,IBP,B1,B1,0,A1,A1,2,0.0,415.0,0.0,345.0,0.0,0.0,0.0,0.0,760.0,760.0,0,1.2585,1200.0,False,COMPLETED
7,IBP,B3,B3,0,A1,A1,2,0.0,415.0,0.0,345.0,0.0,0.0,0.0,0.0,760.0,760.0,0,0.511,1200.0,False,COMPLETED
8,IBP,B5,B5,0,A1,A1,2,750.0,0.0,0.0,0.0,0.0,315.0,0.0,0.0,1065.0,1065.0,1,0.035,1200.0,True,COMPLETED
9,IBP,B7,B7,0,A1,A1,2,750.0,0.0,0.0,0.0,0.0,315.0,0.0,0.0,1065.0,1065.0,1,0.0345,1200.0,True,COMPLETED
10,IBP,B9,B9,0,A1,A1,2,0.0,360.0,420.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,1,0.0345,1200.0,True,COMPLETED
11,IBP,B11,B11,0,A1,A1,2,0.0,360.0,420.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,1,0.0355,1200.0,True,COMPLETED
12,IBP,C1,C1,0,A1,A1,2,60.0,0.0,0.0,840.0,0.0,0.0,0.0,0.0,900.0,900.0,1,0.034,1200.0,True,COMPLETED
13,IBP,C3,C3,0,A1,A1,2,60.0,0.0,0.0,840.0,0.0,0.0,0.0,0.0,900.0,900.0,0,0.0805,1200.0,False,COMPLETED
14,IBP,C5,C5,0,A1,A1,2,85.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,585.0,585.0,1,0.034,1200.0,True,COMPLETED
15,IBP,C7,C7,0,A1,A1,2,85.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,585.0,585.0,1,0.034,1200.0,True,COMPLETED
16,IBP,C9,C9,0,A1,A1,2,290.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0,725.0,725.0,1,0.035,1200.0,True,COMPLETED
17,IBP,C11,C11,0,A1,A1,2,290.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0,725.0,725.0,1,0.034,1200.0,True,COMPLETED
