Data Quality,Item,Series,Time Stamp,Date,Time (s),Measurement,Measurement ID,Image,Bubble Detection,Intensity (Cnt/s),Normalized Intensity (Cnt/s),Number Acqs,Number Unmarked Acqs,Number Marked Acqs,% Acqs Unmarked,Acq Time (s),DLS Temp (C),Attenuation Level (%),Laser Power (%),Set Temp (C),Ramp Rate (C/min),Well,Insert Info,Row,Col,Configuration,Radius (nm),Amplitude,Diffusion Coefficient (cm²/s),Diameter (nm),Polydispersity (nm),%PD,PD Index,Mw-R (kDa),Baseline,SOS,Viscosity from Sample Rh (cP),Lambda (1/s),Sigma (1/s²),D10 (nm),D50 (nm),D90 (nm),Span (D90 - D10)/D50,Range1 Radius (I) (nm),Range1 %Pd (I),Range1 Mw-R (I) (kDa),Range1 %Intensity (I),Range1 %Mass (I),Range1 %Number (I),Range1 Diameter (I) (nm),Range1 Diffusion Coefficient (I) (cm²/s),Range1 Particle Concentration (I) (1/mL),Range2 Radius (I) (nm),Range2 %Pd (I),Range2 Mw-R (I) (kDa),Range2 %Intensity (I),Range2 %Mass (I),Range2 %Number (I),Range2 Diameter (I) (nm),Range2 Diffusion Coefficient (I) (cm²/s),Range2 Particle Concentration (I) (1/mL),Range3 Radius (I) (nm),Range3 %Pd (I),Range3 Mw-R (I) (kDa),Range3 %Intensity (I),Range3 %Mass (I),Range3 %Number (I),Range3 Diameter (I) (nm),Range3 Diffusion Coefficient (I) (cm²/s),Range3 Particle Concentration (I) (1/mL),Range4 Radius (I) (nm),Range4 %Pd (I),Range4 Mw-R (I) (kDa),Range4 %Intensity (I),Range4 %Mass (I),Range4 %Number (I),Range4 Diameter (I) (nm),Range4 Diffusion Coefficient (I) (cm²/s),Range4 Particle Concentration (I) (1/mL),Range5 Radius (I) (nm),Range5 %Pd (I),Range5 Mw-R (I) (kDa),Range5 %Intensity (I),Range5 %Mass (I),Range5 %Number (I),Range5 Diameter (I) (nm),Range5 Diffusion Coefficient (I) (cm²/s),Range5 Particle Concentration (I) (1/mL),RMS Error,Number Unfiltered Peaks (I),Number Filtered Peaks (I),Pre-correction Internal Standard Rh (I) (nm),Internal Standard Viscosity (I) (cP),Mw-S (Da),1/Mw-S (1/Da),Particle Concentration (1/mL),Particle Concentration Calculation,Particle Material,Particle Shape,Particle Core Real RI,Particle Core Imaginary RI,Sample,Concentration (mg/mL),Mw-R Model,dn/dc (mL/g),Conformation Model for SLS,A2 (mol mL/g^2),Viscosity Calculation: Use Internal Standard,Internal Standard Rh (nm),Internal Standard Rh Range Minimum (nm),Internal Standard Rh Range Maximum (nm),Solvent,Rfr Idx @ 589nm & 20C,Viscosity (cP),Temp Model,
Good,A1 ,,15:14:19,2026-03-20,0,1,1,View,--,1348486.3775900262,19543278.437368955,5,5,0,100,9.9614696502685547,24.16138285714662,53.999996185302734,15.000000596046448,25,0,A1,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,1,2026-Mar-20 15:12:34,3.2819718662958213,0.2898128154050274,7.3312931160895087e-07,6.5639437325916425,0.91272048861529598,27.810125308765446,0.27810125308765449,54.303895947579825,1.0015521055729395,0.3325621018436844,--,27254.639880371589,17515.649331422035,2.3392070448950086,2.8644184079817094,10.819683951518494,2.9606278478704837,2.8962963331874825,13.234318334261463,40.532080428260315,82.626875132570021,99.634000886943014,99.995464882737636,5.7925926663749649,8.3075400382438949e-07,--,11.412515166302702,9.0027208495702133,1002.858319088949,16.098813360939054,0.31252711982937781,0.0045351172140069207,22.825030332605404,2.1083080635562506e-07,--,--,--,--,--,--,--,--,--,--,2787.6602163436305,8.9973222935796784,387570602.74801046,1.2743115064909134,0.053471993227623069,4.8339368855071664e-11,5575.320432687261,8.6312878483207578e-10,--,--,--,--,--,--,--,--,--,--,0.00018204909976626788,5,3,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.90461112374199149,Aqueous,
Good,A2 ,,15:15:48,2026-03-20,89,2,2,View,--,1682364.2719064981,19562374.637826927,5,5,0,100,9.9614696502685547,23.762611649938219,56.999999284744263,20.000000298023224,25,0,A2,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,2,2026-Mar-20 15:12:34,3.3723313953953142,0.25052092606409943,7.0592154988138661e-07,6.7446627907906285,1.0239166386630467,30.36227815751246,0.30362278157512462,57.8668505633024,1.0002965453185073,0.11948959099203887,--,25471.24202086607,18080.460050322636,2.1306545040273464,3.2757533927994262,15.355711857520493,4.0372567063698117,3.2835123595115685,28.954331034071391,54.363554293188976,83.045748316538663,99.878742822572548,99.999520168795769,6.567024719023137,7.2501673351558226e-07,--,16.747712835574056,15.538800316708249,2460.3095337683835,16.95425168346134,0.12125717742744742,0.00047983120423439031,33.495425671148112,1.4214486650944063e-07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00013007125794150707,5,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.91307718114466463,Aqueous,
Caution,A3 ,,15:16:56,2026-03-20,157,3,3,View,--,1520016.0040692177,1520017431.0207992,5,5,0,100,9.9614696502685547,23.898973192030383,99.500000476837158,20.000000298023224,25,0,A3,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,3,2026-Mar-20 15:12:34,158.65371877755069,0.30664449056983017,1.5059906970886764e-08,317.30743755510139,90.55895742919104,57.079631115463656,0.57079631115463658,474015.08947435545,1.0025733190735611,107.96086409517943,--,5.919445959907536e-05,758.71273776613475,42.432463303980754,299.85258926359336,528.0703907500988,1.6195889074654786,6.9517210923495103,18.712073396178326,314.41721286274691,4.6865647763487797,41.645908257072357,99.992250218372547,13.903442184699021,3.4370053309598701e-07,--,61.702391154606445,33.316021383099766,52014.83968847846,24.948612650564165,3.4178134855050515,0.0069589632158945543,123.40478230921289,3.8723138612056326e-08,--,398.28762605308418,32.278302185736294,4084314.3740846072,70.364822573087054,54.936278257422593,0.00079081841156225334,796.57525210616836,5.9989567565844842e-09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00067695845245834474,5,3,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.91016711666756911,Aqueous,
Caution,A4 ,,15:18:04,2026-03-20,225,4,4,View,--,937186.39488666202,937187274.69293022,5,5,0,100,9.9614696502685547,24.276158173095062,99.500000476837158,20.000000298023224,25,0,A4,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,4,2026-Mar-20 15:12:34,180.68777745681618,0.35254846765945791,1.3357153834639418e-08,361.37555491363236,103.13591934396685,57.079632499556318,0.57079632499556321,642599.83134758007,1.0298142940732522,212.39228032600292,--,1.6824447159957711e-08,672.92866643948878,64.022731355135789,224.40447151961558,312.64143658597936,1.1079044171769608,7.6443177383773699,9.1934688971657277,392.65815230227463,7.3412440670361985,48.470926715101882,99.992874950873286,15.28863547675474,3.157213661349044e-07,--,81.703405792269109,13.613841404683633,100331.70318325945,31.846368125371146,4.759167214410331,0.0052440067030188019,163.40681158453822,2.9539459415756111e-08,--,277.83023398655041,15.844078771804654,1758465.8655709233,60.812387807592664,46.769906070487799,0.0018810424236835618,555.66046797310082,8.6868675338142694e-09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00053694934644311595,6,3,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.90219905260375388,Aqueous,
Caution,A5 ,,15:19:11,2026-03-20,292,5,5,View,--,784861.86688080966,20929644.793472085,5,5,0,100,9.9614696502685547,24.680505593623877,94.999998807907104,75,25,0,A5,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,5,2026-Mar-20 15:12:34,3.7857242436771363,0.36044846632066951,6.4439466932692492e-07,7.5714484873542727,2.1608774650539946,57.079631953200547,0.57079631953200549,75.845816695683652,1.0619302605514811,1704.828601992012,--,0.0010003095752884955,32464.374130823238,3.00643752031975,3.8939512818130577,5417.1716305896771,1390.4039370899561,3.7282341827600405,14.056543702533055,73.178214257594249,70.192606862956652,94.513920264394514,99.999999551934906,7.456468365520081,6.5433135435748565e-07,--,52.732513804829196,3.6015270788711473,36016.198665737087,1.4371492658620562,0.0015841084791201332,4.4660612444120731e-07,105.46502760965839,4.6261790803226296e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5414.750914416356,11.479647192195394,1832338018.1667383,28.370243871181284,5.4844956271263623,1.4589735583926583e-09,10829.501828832712,4.5052866894989929e-10,--,0.0018695293423498108,4,3,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.89378789776105028,Aqueous,
Caution,A6 ,,15:20:25,2026-03-20,366,6,6,View,--,1301821.3986592139,29762720.537666682,5,5,0,100,9.9614696502685547,24.927013613555861,70.840001106262207,15.000000596046448,25,0,A6,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,6,2026-Mar-20 15:12:34,6.730881883073355,0.40654554735547699,3.6480043844288143e-07,13.46176376614671,2.2734161745802375,33.775903575092656,0.33775903575092658,291.54221659101364,1.0238587406735664,31.29506319764506,--,12487.377963395944,10224.751337780061,4.8789664349161956,5.2495312447518119,5.5795623686986042,0.13345876062416531,5.4441683572642345,4.4382893553131337,177.46441878840926,97.428987085692015,99.866918493937106,99.999999842899953,10.888336714528469,4.5101997236659525e-07,--,--,--,--,--,--,--,--,--,--,517.7223277518566,4.0022021417523455,7544362.9336792594,2.5710129143079756,0.13308150606289576,1.5710006122432091e-07,1035.4446555037132,4.7427521094459926e-09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00046698309791459562,4,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.88872531877806393,Aqueous,
Caution,A7 ,,15:21:31,2026-03-20,432,7,7,View,--,998906.58424671611,5313332.2345776502,5,5,0,100,9.9614696502685547,25.107362643443697,81.199997663497925,100,25,0,A7,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,7,2026-Mar-20 15:12:34,137.29238945360643,0.18402141728569874,1.7969760223406254e-08,274.58477890721286,78.365990834602513,57.079632124170864,0.57079632124170865,337943.30956804974,1.1726210985271766,2326.9842503965037,--,1.9172869769032122e-05,905.31012943185465,0.68141523795880998,67.158781439070736,544.16920464519819,8.0925796710637794,0.83562470250721788,26.439556247612433,2.2115696782540035,31.67035838317442,99.933891318374791,99.999954403758238,1.6712494050144358,2.9524154941536174e-06,--,67.003206770443967,11.493576296061752,63077.883891287551,15.247483934420403,0.00032007140382925764,1.9971277497434668e-10,134.00641354088793,3.6820794673787072e-08,--,500.00168342973143,16.391004965689699,6953958.5037672976,44.644504666712862,0.018647694987557164,3.0638683054697621e-11,1000.0033668594629,4.9342060251813863e-09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00074120613384582939,6,4,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.88505232471853523,Aqueous,
Caution,A8 ,,15:23:34,2026-03-20,555,8,8,View,--,930498.30166399875,5123663.9143838342,5,5,0,100,9.9614696502685547,25.133494279397844,56.760001182556152,41.999998688697815,25,0,A8,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,8,2026-Mar-20 15:12:34,14.163760938807322,0.17378935624794367,1.7430441964505019e-07,28.327521877614643,8.084622327841954,57.079629928593882,0.57079629928593878,1662.2881828389502,1.1700951442680863,2258.5472517447138,--,0.0012724287840600638,8781.3941786694213,0.64296777445459607,68.485024949005151,521.72386644883454,7.6086837825113385,0.69951980040348083,6.6851562558400817,1.4589544247787505,34.388544458201174,99.716868100378633,99.998013574960666,1.3990396008069617,3.5292869894548253e-06,--,75.009628557871793,3.7302766718895342,82144.30296927123,24.623144054738759,0.00048198435774941193,3.6510763112440065e-10,150.01925711574359,3.2913189651716456e-08,--,530.87780330604608,3.4251911584639387,8000570.3054896109,28.256572648551668,0.0077463528088633138,1.7432906201391982e-11,1061.7556066120922,4.6504225926484962e-09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.0010381767864763947,5,4,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.884522273961592,Aqueous,
Caution,A9 ,,15:25:21,2026-03-20,662,9,9,View,--,1609657.9145599448,5441710.3303840784,5,5,0,100,9.9614696502685547,25.070514873180358,65.200001001358032,85.000002384185791,25,0,A9,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,9,2026-Mar-20 15:12:34,5.7219999946490372,0.15643621465760293,4.3074491090082693e-07,11.443999989298074,3.2660965247367186,57.079631733502765,0.57079631733502767,199.38345803694656,1.1084862135123366,3361.5157170526918,--,0.0009373140954888761,21700.775206899147,0.61265044632643417,12.123617097342899,536.1166397333194,44.170315260480955,0.77390065186215984,23.130476156577345,1.848095108355241,39.353702680100341,99.876994139046573,99.999671752775413,1.5478013037243197,3.1848046282672286e-06,--,13.819476300195332,9.1481904479124108,1569.2815505982296,5.5268308810467897,0.0019689189042252546,1.7593596500857806e-07,27.638952600390663,1.783513589320888e-07,--,121.09387179580568,8.8419649770559836,251923.0466495872,28.98036302854544,0.010835623107219817,1.548985163505432e-09,242.18774359161137,2.035381593897473e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00040816635427142975,8,5,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.88580066134734148,Aqueous,
Caution,A10 ,,15:27:07,2026-03-20,768,10,10,View,--,837099.35776313418,3974830.9719034215,5,5,0,100,9.9614696502685547,25.005450535887285,71.92000150680542,75,25,0,A10,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,10,2026-Mar-20 15:12:34,4.1645312686873233,0.18039191706625932,5.9082438018144891e-07,8.3290625373746465,2.3770991378135085,57.079632363110569,0.57079632363110566,94.806798646729604,1.0955486821219229,4987.5889615729257,--,0.00022960569198344214,29765.522339958337,0.62692266018429499,44.39073070758888,1023.4320523609524,23.040961781823363,0.75065089838212129,18.694737133719393,1.7207925222316036,36.861361598342981,99.884538922920868,99.999742087290841,1.5013017967642426,3.2778307611055728e-06,--,50.777352166245159,7.2745847043891017,32968.974708409252,13.028820160885642,0.00022508608324594,4.3897434494108717e-10,101.55470433249032,4.8456772568856033e-08,--,248.51770671894997,9.0190943371431,1354676.9938149618,26.603106694912359,0.0050248524750602609,7.3792599517013777e-11,497.03541343789993,9.900729561902207e-09,--,1155.7513740947286,7.5815617668394983,49393388.828834847,12.010496688558723,0.0070843488190953209,1.1608200315448306e-12,2311.5027481894572,2.1289237985944035e-09,--,--,--,--,--,--,--,--,--,--,0.00045754548488376271,7,5,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.88712468236693742,Aqueous,
