Data Quality,Well,Diameter (nm),PD Index
Good,A1,6.6,0.278
Good,A2,6.7,0.304
Caution,A3,317.3,Multimodal
Caution,A4,361.4,Multimodal
Caution,A5,7.6,Multimodal
Caution,A6,13.5,0.338
Caution,A7,274.6,Multimodal
Caution,A8,28.3,Multimodal
Caution,A9,11.4,Multimodal
Caution,A10,8.3,Multimodal
Caution,A11,3.8,Multimodal
Caution,A12,3.0,0.556
Caution,B1,76.5,Multimodal
Caution,B2,12.5,Multimodal
Caution,B3,2.7,Multimodal
Caution,B4,2.6,Multimodal
Caution,B5,87.8,Multimodal
Caution,B6,4.8,Multimodal
Caution,B7,853.6,Multimodal
Caution,B8,1595.0,Multimodal
Good,B9,12.1,0.422
Caution,B10,15.8,Multimodal
Caution,B11,2.4,Multimodal
Caution,B12,2.0,Multimodal
Good,C1,144.2,0.363
Good,C2,142.8,0.127
Good,C3,6.7,0.253
Good,C4,6.9,0.253
Caution,C5,851.2,Multimodal
Caution,C6,12.8,Multimodal
Caution,C7,2.3,Multimodal
Caution,C8,8699.3,Multimodal
Good,C9,8.6,0.065
Caution,C10,102.8,Multimodal
Caution,C11,0.8,Multimodal
Good,C12,4.3,0.398
Caution,D1,39.3,Multimodal
Caution,D2,40.8,Multimodal
Caution,D3,193.9,Multimodal
Caution,D4,224.6,Multimodal
Good,D5,3889.4,0.000
Good,D6,4167.7,0.000
Caution,D7,2.7,Multimodal
Caution,D8,488.5,Multimodal
Caution,D9,669.0,Multimodal
Good,D10,119.5,0.300
Caution,D11,1138.5,Multimodal
Caution,D12,1617.2,Multimodal
Good,E1,21.7,0.151
Good,E2,22.9,0.103
Good,E3,39.5,0.145
Good,E4,36.0,0.134
Caution,E5,11.2,Multimodal
Caution,E6,13.3,Multimodal
Caution,E7,27.6,Multimodal
Caution,E8,67.4,Multimodal
Good,E9,18.8,0.101
Good,E10,19.4,0.231
Caution,E11,1783.7,Multimodal
Caution,E12,611.8,Multimodal
Caution,F1,17.9,Multimodal
Caution,F2,295.2,Multimodal
Caution,F3,2.1,Multimodal
Caution,F4,451.2,Multimodal
Caution,F5,4.2,Multimodal
Caution,F6,524.3,Multimodal
Error,F7,--,--
Good,F8,342.0,0.230
Caution,F9,0.8,Multimodal
Caution,F10,0.7,Multimodal
Caution,F11,91.7,Multimodal
Caution,F12,328.2,Multimodal
Good,G1,6.3,0.065
Good,G2,6.5,0.200
Caution,G3,5.2,Multimodal
Good,G4,138.5,0.294
Caution,G5,7.1,Multimodal
Caution,G6,8.1,Multimodal
