Meas Num,Data Quality,Item,Series,Time Stamp,Date,Time (s),Measurement ID,Image,Bubble Detection,Intensity (Cnt/s),Normalized Intensity (Cnt/s),Number Acqs,Number Unmarked Acqs,Number Marked Acqs,% Acqs Unmarked,Acq Time (s),DLS Temp (C),Attenuation Level (%),Laser Power (%),Set Temp (C),Ramp Rate (C/min),Well,Insert Info,Row,Col,Configuration,Radius (nm),Amplitude,Diffusion Coefficient (cm²/s),Diameter (nm),Polydispersity (nm),%PD,PD Index,Mw-R (kDa),Baseline,SOS,Viscosity from Sample Rh (cP),Lambda (1/s),Sigma (1/s²),D10 (nm),D50 (nm),D90 (nm),Span (D90 - D10)/D50,RMS Error,Number Unfiltered Peaks (I),Number Filtered Peaks (I),Pre-correction Internal Standard Rh (I) (nm),Internal Standard Viscosity (I) (cP),Mw-S (Da),1/Mw-S (1/Da),Particle Concentration (1/mL),Particle Concentration Calculation,Particle Material,Particle Shape,Particle Core Real RI,Particle Core Imaginary RI,Sample,Concentration (mg/mL),Mw-R Model,dn/dc (mL/g),Conformation Model for SLS,A2 (mol mL/g^2),Viscosity Calculation: Use Internal Standard,Internal Standard Rh (nm),Internal Standard Rh Range Minimum (nm),Internal Standard Rh Range Maximum (nm),Solvent,Rfr Idx @ 589nm & 20C,Viscosity (cP),Temp Model,Peak Num,Peak Radius (nm) (I),Peak Diameter (nm) (I),Peak Diffusion Coefficient (cm²/s) (I),Peak Mw-R (kDa) (I),Peak %Pd (I),Peak Pd (nm) (I),Peak Pd Index (I),Peak %Intensity (I),Peak %Mass (I),Peak %Number (I),Peak Particle Concentration (1/mL) (I),
1,,A1 ,,15:14:19,2026-03-20,0,1,View,--,1.34849e+06,1.95433e+07,5,5,0,100,9.96147,24.1614,54,15,25,0,A1,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,1,2026-Mar-20 15:12:34,3.28197,0.289813,7.33129e-07,6.56394,0.91272,27.8101,0.278101,54.3039,1.00155,0.332562,--,27254.6,17515.6,2.33921,2.86442,10.8197,2.96063,0.000182049,5,3,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.904611,Aqueous,1,2.8963,5.79259,8.30754e-07,40.5321,13.2343,0.383305,0.132343,82.6269,99.634,99.9955,--,
1,,A1 ,,15:14:19,2026-03-20,0,1,View,--,1.34849e+06,1.95433e+07,5,5,0,100,9.96147,24.1614,54,15,25,0,A1,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,1,2026-Mar-20 15:12:34,3.28197,0.289813,7.33129e-07,6.56394,0.91272,27.8101,0.278101,54.3039,1.00155,0.332562,--,27254.6,17515.6,2.33921,2.86442,10.8197,2.96063,0.000182049,5,3,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.904611,Aqueous,2,11.4125,22.825,2.10831e-07,1002.86,9.00272,1.02744,0.0900272,16.0988,0.312527,0.00453512,--,
1,,A1 ,,15:14:19,2026-03-20,0,1,View,--,1.34849e+06,1.95433e+07,5,5,0,100,9.96147,24.1614,54,15,25,0,A1,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,1,2026-Mar-20 15:12:34,3.28197,0.289813,7.33129e-07,6.56394,0.91272,27.8101,0.278101,54.3039,1.00155,0.332562,--,27254.6,17515.6,2.33921,2.86442,10.8197,2.96063,0.000182049,5,3,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.904611,Aqueous,3,2787.66,5575.32,8.63129e-10,3.87571e+08,8.99732,250.815,0.0899732,1.27431,0.053472,4.83394e-11,--,
2,,A2 ,,15:15:48,2026-03-20,89,2,View,--,1.68236e+06,1.95624e+07,5,5,0,100,9.96147,23.7626,57,20,25,0,A2,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,2,2026-Mar-20 15:12:34,3.37233,0.250521,7.05922e-07,6.74466,1.02392,30.3623,0.303623,57.8669,1.0003,0.11949,--,25471.2,18080.5,2.13065,3.27575,15.3557,4.03726,0.000130071,5,2,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.913077,Aqueous,1,3.28351,6.56702,7.25017e-07,54.3636,28.9543,0.950719,0.289543,83.0457,99.8787,99.9995,--,
2,,A2 ,,15:15:48,2026-03-20,89,2,View,--,1.68236e+06,1.95624e+07,5,5,0,100,9.96147,23.7626,57,20,25,0,A2,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,2,2026-Mar-20 15:12:34,3.37233,0.250521,7.05922e-07,6.74466,1.02392,30.3623,0.303623,57.8669,1.0003,0.11949,--,25471.2,18080.5,2.13065,3.27575,15.3557,4.03726,0.000130071,5,2,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.913077,Aqueous,2,16.7477,33.4954,1.42145e-07,2460.31,15.5388,2.60239,0.155388,16.9543,0.121257,0.000479831,--,
3,,A3 ,,15:16:56,2026-03-20,157,3,View,--,1.52002e+06,1.52002e+09,5,5,0,100,9.96147,23.899,99.5,20,25,0,A3,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,3,2026-Mar-20 15:12:34,158.654,0.306644,1.50599e-08,317.307,90.559,57.0796,0.570796,474015,1.00257,107.961,--,5.91945e-05,758.713,42.4325,299.853,528.07,1.61959,0.000676958,5,3,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.910167,Aqueous,1,6.95172,13.9034,3.43701e-07,314.417,18.7121,1.30081,0.187121,4.68656,41.6459,99.9923,--,
3,,A3 ,,15:16:56,2026-03-20,157,3,View,--,1.52002e+06,1.52002e+09,5,5,0,100,9.96147,23.899,99.5,20,25,0,A3,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,3,2026-Mar-20 15:12:34,158.654,0.306644,1.50599e-08,317.307,90.559,57.0796,0.570796,474015,1.00257,107.961,--,5.91945e-05,758.713,42.4325,299.853,528.07,1.61959,0.000676958,5,3,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.910167,Aqueous,2,61.7024,123.405,3.87231e-08,52014.8,33.316,20.5568,0.33316,24.9486,3.41781,0.00695896,--,
3,,A3 ,,15:16:56,2026-03-20,157,3,View,--,1.52002e+06,1.52002e+09,5,5,0,100,9.96147,23.899,99.5,20,25,0,A3,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,3,2026-Mar-20 15:12:34,158.654,0.306644,1.50599e-08,317.307,90.559,57.0796,0.570796,474015,1.00257,107.961,--,5.91945e-05,758.713,42.4325,299.853,528.07,1.61959,0.000676958,5,3,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.910167,Aqueous,3,398.288,796.575,5.99896e-09,4.08431e+06,32.2783,128.56,0.322783,70.3648,54.9363,0.000790818,--,
4,,A4 ,,15:18:04,2026-03-20,225,4,View,--,937186,9.37187e+08,5,5,0,100,9.96147,24.2762,99.5,20,25,0,A4,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,4,2026-Mar-20 15:12:34,180.688,0.352548,1.33572e-08,361.376,103.136,57.0796,0.570796,642600,1.02981,212.392,--,1.68244e-08,672.929,64.0227,224.404,312.641,1.1079,0.000536949,6,3,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.902199,Aqueous,1,7.64432,15.2886,3.15721e-07,392.658,9.19347,0.702778,0.0919347,7.34124,48.4709,99.9929,--,
4,,A4 ,,15:18:04,2026-03-20,225,4,View,--,937186,9.37187e+08,5,5,0,100,9.96147,24.2762,99.5,20,25,0,A4,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,4,2026-Mar-20 15:12:34,180.688,0.352548,1.33572e-08,361.376,103.136,57.0796,0.570796,642600,1.02981,212.392,--,1.68244e-08,672.929,64.0227,224.404,312.641,1.1079,0.000536949,6,3,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.902199,Aqueous,2,81.7034,163.407,2.95395e-08,100332,13.6138,11.123,0.136138,31.8464,4.75917,0.00524401,--,
