trial_index,drug_name,well_slot,deep_well_slot,rack_1000,well_1000,well_50,replicates,s1,s2,s3,s4,s5,s6,s7,s8,total_vol,obj_total_vol
0,IBP,A1,A1,0,A1,A1,2,0.0,0.0,950.0,0.0,0.0,0.0,35.0,0.0,985.0,
1,IBP,A3,A3,0,A1,A1,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,35.0,135.0,
2,IBP,A5,A5,0,A1,A1,2,0.0,0.0,335.0,0.0,0.0,210.0,0.0,0.0,545.0,
3,IBP,A7,A7,0,A1,A1,2,0.0,0.0,0.0,0.0,565.0,145.0,0.0,0.0,710.0,
4,IBP,A9,A9,0,A1,A1,2,0.0,0.0,0.0,0.0,495.0,0.0,130.0,0.0,625.0,
5,IBP,A11,A11,0,A1,A1,2,0.0,0.0,0.0,255.0,0.0,0.0,0.0,745.0,1000.0,
6,IBP,B1,B1,0,A1,A1,2,0.0,0.0,185.0,0.0,565.0,0.0,0.0,0.0,750.0,
7,IBP,B3,B3,0,A1,A1,2,0.0,360.0,380.0,0.0,0.0,0.0,0.0,0.0,740.0,
8,IBP,B5,B5,0,A1,A1,2,415.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,
9,IBP,B7,B7,0,A1,A1,2,815.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.0,
10,IBP,B9,B9,0,A1,A1,2,0.0,0.0,0.0,265.0,0.0,0.0,665.0,0.0,930.0,
11,IBP,B11,B11,0,A1,A1,2,60.0,0.0,0.0,830.0,0.0,0.0,0.0,0.0,890.0,
12,IBP,C1,C1,0,A1,A1,2,150.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,170.0,
13,IBP,C3,C3,0,A1,A1,2,0.0,0.0,470.0,0.0,0.0,40.0,0.0,0.0,510.0,
14,IBP,C5,C5,0,A1,A1,2,85.0,0.0,490.0,0.0,0.0,0.0,0.0,0.0,575.0,
15,IBP,C7,C7,0,A1,A1,2,770.0,0.0,0.0,0.0,0.0,285.0,0.0,0.0,1055.0,
16,IBP,C9,C9,0,A1,A1,2,0.0,0.0,0.0,0.0,5.0,0.0,0.0,795.0,800.0,
17,IBP,C11,C11,0,A1,A1,2,0.0,240.0,0.0,385.0,0.0,0.0,0.0,0.0,625.0,
18,IBP,D1,D1,0,A1,A1,2,0.0,0.0,60.0,0.0,180.0,0.0,0.0,0.0,240.0,
19,IBP,D3,D3,0,A1,A1,2,45.0,445.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,
20,IBP,D5,D5,0,A1,A1,2,0.0,0.0,0.0,0.0,0.0,0.0,105.0,325.0,430.0,
21,IBP,D7,D7,0,A1,A1,2,750.0,0.0,0.0,0.0,0.0,290.0,0.0,0.0,1040.0,
22,IBP,D9,D9,0,A1,A1,2,320.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,415.0,
23,IBP,D11,D11,0,A1,A1,2,0.0,0.0,0.0,0.0,0.0,105.0,0.0,495.0,600.0,
24,IBP,E1,E1,0,A1,A1,2,0.0,20.0,0.0,0.0,0.0,0.0,965.0,0.0,985.0,
25,IBP,E3,E3,0,A1,A1,2,0.0,0.0,0.0,0.0,0.0,360.0,665.0,0.0,1025.0,
26,IBP,E5,E5,0,A1,A1,2,0.0,0.0,0.0,105.0,680.0,0.0,0.0,0.0,785.0,
27,IBP,E7,E7,0,A1,A1,2,0.0,0.0,0.0,0.0,655.0,85.0,0.0,0.0,740.0,
28,IBP,E9,E9,0,A1,A1,2,0.0,0.0,130.0,0.0,0.0,285.0,0.0,0.0,415.0,
29,IBP,E11,E11,0,A1,A1,2,290.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0,725.0,
30,IBP,F1,F1,0,A1,A1,2,0.0,560.0,75.0,0.0,0.0,0.0,0.0,0.0,635.0,
31,IBP,F3,F3,0,A1,A1,2,0.0,0.0,295.0,450.0,0.0,0.0,0.0,0.0,745.0,
32,IBP,F5,F5,0,A1,A1,2,0.0,0.0,0.0,580.0,185.0,0.0,0.0,0.0,765.0,
33,IBP,F7,F7,0,A1,A1,2,0.0,0.0,95.0,0.0,0.0,90.0,0.0,0.0,185.0,
34,IBP,F9,F9,0,A1,A1,2,0.0,415.0,0.0,295.0,0.0,0.0,0.0,0.0,710.0,
35,IBP,F11,F11,0,A1,A1,2,0.0,0.0,0.0,0.0,620.0,0.0,40.0,0.0,660.0,
36,IBP,G1,G1,0,A1,A1,2,0.0,0.0,640.0,0.0,0.0,0.0,0.0,300.0,940.0,
37,IBP,G3,G3,0,A1,A1,2,0.0,0.0,0.0,265.0,0.0,0.0,95.0,0.0,360.0,
38,IBP,G5,G5,0,A1,A1,2,0.0,0.0,495.0,0.0,0.0,0.0,0.0,35.0,530.0,
