,1,2,3,4,5,6,7,8,9,10,11,12
A,0.039,0.034,0.153,0.126,0.037,0.037,0.037,0.038,0.037,0.038,0.035,0.037
B,0.036,0.036,0.039,0.037,0.038,0.038,0.036,0.035,0.036,0.038,0.039,0.039
C,0.038,0.043,0.035,0.033,0.035,0.034,0.035,0.035,0.057,0.069,0.575,0.036
D,0.038,0.039,0.034,0.036,1.854,1.995,0.037,0.032,0.035,0.105,0.172,0.824
E,0.037,0.037,0.036,0.036,0.036,0.034,0.035,0.034,0.04,0.038,0.035,0.039
F,0.038,0.034,0.035,0.034,0.036,0.036,0.534,0.372,2.1,0.395,0.039,0.036
G,0.036,0.035,0.035,0.041,0.033,0.034,0.041,0.038,0.039,0.039,0.039,0.04
H,0.041,0.039,0.04,0.039,0.039,0.041,0.04,0.039,0.039,0.039,0.039,0.039



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Absorbance %CV



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Dilution Factor,Absorbance %CV
1,Sample 1,,,,1,,,,,,



Protocol
Assay
Sample Wavelength (nm),600
Serial No.,OPTMAA00048
Measurement started at,03 20 18:56:15 2026
Measurement finished at,03 20 18:56:18 2026
