trial_index,drug_name,well_slot,deep_well_slot,rack_1000,well_1000,well_50,replicates,s1,s2,s3,s4,s5,s6,s7,s8,total_vol,obj_total_vol
0,LOV,A1,A1,0,A1,A1,2,0.0,0.0,950.0,0.0,0.0,0.0,35.0,0.0,985.0,
1,LOV,A3,A3,0,A1,A1,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,35.0,135.0,
2,LOV,A5,A5,0,A1,A1,2,0.0,0.0,335.0,0.0,0.0,210.0,0.0,0.0,545.0,
3,LOV,A7,A7,0,A1,A1,2,0.0,0.0,0.0,0.0,565.0,145.0,0.0,0.0,710.0,
4,LOV,A9,A9,0,A1,A1,2,0.0,0.0,0.0,0.0,495.0,0.0,130.0,0.0,625.0,
5,LOV,A11,A11,0,A1,A1,2,0.0,0.0,0.0,255.0,0.0,0.0,0.0,745.0,1000.0,
6,LOV,B1,B1,0,A1,A1,2,0.0,0.0,185.0,0.0,565.0,0.0,0.0,0.0,750.0,
7,LOV,B3,B3,0,A1,A1,2,0.0,360.0,380.0,0.0,0.0,0.0,0.0,0.0,740.0,
8,LOV,B5,B5,0,A1,A1,2,415.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,
9,LOV,B7,B7,0,A1,A1,2,815.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.0,
10,LOV,B9,B9,0,A1,A1,2,0.0,0.0,0.0,265.0,0.0,0.0,665.0,0.0,930.0,
11,LOV,B11,B11,0,A1,A1,2,60.0,0.0,0.0,830.0,0.0,0.0,0.0,0.0,890.0,
12,LOV,C1,C1,0,A1,A1,2,150.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,170.0,
13,LOV,C3,C3,0,A1,A1,2,0.0,0.0,470.0,0.0,0.0,40.0,0.0,0.0,510.0,
14,LOV,C5,C5,0,A1,A1,2,85.0,0.0,490.0,0.0,0.0,0.0,0.0,0.0,575.0,
15,LOV,C7,C7,0,A1,A1,2,770.0,0.0,0.0,0.0,0.0,285.0,0.0,0.0,1055.0,
16,LOV,C9,C9,0,A1,A1,2,0.0,0.0,0.0,0.0,5.0,0.0,0.0,795.0,800.0,
17,LOV,C11,C11,0,A1,A1,2,0.0,240.0,0.0,385.0,0.0,0.0,0.0,0.0,625.0,
18,LOV,D1,D1,0,A1,A1,2,0.0,0.0,60.0,0.0,180.0,0.0,0.0,0.0,240.0,
19,LOV,D3,D3,0,A1,A1,2,45.0,445.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,
20,LOV,D5,D5,0,A1,A1,2,0.0,0.0,0.0,0.0,0.0,0.0,105.0,325.0,430.0,
21,LOV,D7,D7,0,A1,A1,2,750.0,0.0,0.0,0.0,0.0,290.0,0.0,0.0,1040.0,
22,LOV,D9,D9,0,A1,A1,2,320.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,415.0,
23,LOV,D11,D11,0,A1,A1,2,0.0,0.0,0.0,0.0,0.0,105.0,0.0,495.0,600.0,
24,LOV,E1,E1,0,A1,A1,2,0.0,20.0,0.0,0.0,0.0,0.0,965.0,0.0,985.0,
25,LOV,E3,E3,0,A1,A1,2,0.0,0.0,0.0,0.0,0.0,360.0,665.0,0.0,1025.0,
26,LOV,E5,E5,0,A1,A1,2,0.0,0.0,0.0,105.0,680.0,0.0,0.0,0.0,785.0,
27,LOV,E7,E7,0,A1,A1,2,0.0,0.0,0.0,0.0,655.0,85.0,0.0,0.0,740.0,
28,LOV,E9,E9,0,A1,A1,2,0.0,0.0,130.0,0.0,0.0,285.0,0.0,0.0,415.0,
29,LOV,E11,E11,0,A1,A1,2,290.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0,725.0,
30,LOV,F1,F1,0,A1,A1,2,0.0,560.0,75.0,0.0,0.0,0.0,0.0,0.0,635.0,
31,LOV,F3,F3,0,A1,A1,2,0.0,0.0,295.0,450.0,0.0,0.0,0.0,0.0,745.0,
32,LOV,F5,F5,0,A1,A1,2,0.0,0.0,0.0,580.0,185.0,0.0,0.0,0.0,765.0,
33,LOV,F7,F7,0,A1,A1,2,0.0,0.0,95.0,0.0,0.0,90.0,0.0,0.0,185.0,
34,LOV,F9,F9,0,A1,A1,2,0.0,415.0,0.0,295.0,0.0,0.0,0.0,0.0,710.0,
35,LOV,F11,F11,0,A1,A1,2,0.0,0.0,0.0,0.0,620.0,0.0,40.0,0.0,660.0,
36,LOV,G1,G1,0,A1,A1,2,0.0,0.0,640.0,0.0,0.0,0.0,0.0,300.0,940.0,
37,LOV,G3,G3,0,A1,A1,2,0.0,0.0,0.0,265.0,0.0,0.0,95.0,0.0,360.0,
38,LOV,G5,G5,0,A1,A1,2,0.0,0.0,495.0,0.0,0.0,0.0,0.0,35.0,530.0,
