,1,2,3,4,5,6,7,8,9,10,11,12
A,0.206,0.193,1.251,1.048,0.204,0.79,0.118,0.26,0.12,0.33,0.042,0.356
B,0.063,0.065,0.098,0.044,0.109,0.189,0.067,0.068,1.195,1.325,0.504,0.5
C,1.148,1.192,0.135,0.262,0.287,0.353,0.045,0.042,0.034,0.166,0.699,0.757
D,0.716,1.212,0.396,0.731,0.043,0.604,0.036,0.036,0.544,0.707,0.046,0.092
E,0.817,0.368,0.887,0.995,0.15,0.1,0.136,0.086,2.149,2.287,0.035,0.097
F,0.133,0.542,0.049,0.034,0.036,0.036,2.117,2.242,0.532,0.932,0.036,0.037
G,0.042,0.037,0.405,0.51,0.035,0.033,0.038,0.037,0.038,0.037,0.038,0.04
H,0.038,0.037,0.038,0.038,0.037,0.038,0.039,0.039,0.038,0.038,0.038,0.038



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Absorbance %CV



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Dilution Factor,Absorbance %CV
1,Sample 1,,,,1,,,,,,



Protocol
Assay
Sample Wavelength (nm),600
Serial No.,OPTMAA00048
Measurement started at,09 11 19:36:10 2026
Measurement finished at,09 11 19:36:16 2026
