,1,2,3,4,5,6,7,8,9,10,11,12
A,0.367,0.43,0.514,0.742,0.794,0.805,0.108,0.293,0.316,0.125,0.309,0.28
B,0.222,0.244,0.131,0.152,0.428,0.214,0.065,0.082,1.479,1.376,0.394,0.731
C,1.332,1.251,0.289,0.29,0.303,0.443,0.108,0.069,0.091,0.254,0.957,0.772
D,1.08,0.605,0.875,1.177,0.379,0.403,0.24,0.033,0.388,1.195,0.181,0.224
E,0.589,0.597,1.014,0.816,0.109,0.078,0.041,0.085,0.407,2.102,0.038,0.042
F,0.147,0.607,0.156,0.081,0.061,0.054,2.362,2.293,0.693,0.95,0.04,0.036
G,0.051,0.051,0.123,0.937,0.049,0.036,0.04,0.037,0.038,0.038,0.038,0.038
H,0.039,0.037,0.038,0.039,0.038,0.039,0.038,0.038,0.038,0.038,0.038,0.038



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Absorbance %CV



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Dilution Factor,Absorbance %CV
1,Sample 1,,,,1,,,,,,



Protocol
Assay
Sample Wavelength (nm),600
Serial No.,OPTMAA00048
Measurement started at,09 17 18:59:40 2026
Measurement finished at,09 17 18:59:45 2026
