trial_index,drug_name,well_slot,deep_well_slot,rack_1000,well_1000,well_50,replicates,s1,s2,s3,s4,s5,s6,s7,s8,original_total_vol,reported_vol,success,absorbance,prior_best_vol,is_new_record,status
0,LOV,A1,A1,0,A1,H1,2,0.0,0.0,950.0,0.0,0.0,0.0,35.0,0.0,985.0,985.0,0,0.3985,1200.0,False,COMPLETED
1,LOV,A3,A3,0,A1,H1,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,35.0,135.0,135.0,0,0.628,1200.0,False,COMPLETED
2,LOV,A5,A5,0,A1,H1,2,0.0,0.0,335.0,0.0,0.0,210.0,0.0,0.0,545.0,545.0,0,0.7995,1200.0,False,COMPLETED
3,LOV,A7,A7,0,A1,H1,2,0.0,0.0,0.0,0.0,565.0,145.0,0.0,0.0,710.0,710.0,0,0.2005,1200.0,False,COMPLETED
4,LOV,A9,A9,0,A1,H1,2,0.0,0.0,0.0,0.0,495.0,0.0,130.0,0.0,625.0,625.0,0,0.2205,1200.0,False,COMPLETED
5,LOV,A11,A11,0,A1,H1,2,0.0,0.0,0.0,255.0,0.0,0.0,0.0,745.0,1000.0,1000.0,0,0.2945,1200.0,False,COMPLETED
6,LOV,B1,B1,0,A1,H1,2,0.0,0.0,185.0,0.0,565.0,0.0,0.0,0.0,750.0,750.0,0,0.233,1200.0,False,COMPLETED
7,LOV,B3,B3,0,A1,H1,2,0.0,360.0,380.0,0.0,0.0,0.0,0.0,0.0,740.0,740.0,0,0.1415,1200.0,False,COMPLETED
8,LOV,B5,B5,0,A1,H1,2,415.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0,0.321,1200.0,False,COMPLETED
9,LOV,B7,B7,0,A1,H1,2,815.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.0,1050.0,0,0.0735,1200.0,False,COMPLETED
10,LOV,B9,B9,0,A1,H1,2,0.0,0.0,0.0,265.0,0.0,0.0,665.0,0.0,930.0,930.0,0,1.4275,1200.0,False,COMPLETED
11,LOV,B11,B11,0,A1,H1,2,60.0,0.0,0.0,830.0,0.0,0.0,0.0,0.0,890.0,890.0,0,0.5625,1200.0,False,COMPLETED
12,LOV,C1,C1,0,A1,H1,2,150.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,170.0,170.0,0,1.2915,1200.0,False,COMPLETED
13,LOV,C3,C3,0,A1,H1,2,0.0,0.0,470.0,0.0,0.0,40.0,0.0,0.0,510.0,510.0,0,0.2895,1200.0,False,COMPLETED
14,LOV,C5,C5,0,A1,H1,2,85.0,0.0,490.0,0.0,0.0,0.0,0.0,0.0,575.0,575.0,0,0.373,1200.0,False,COMPLETED
15,LOV,C7,C7,0,A1,H1,2,770.0,0.0,0.0,0.0,0.0,285.0,0.0,0.0,1055.0,1055.0,0,0.0885,1200.0,False,COMPLETED
16,LOV,C9,C9,0,A1,H1,2,0.0,0.0,0.0,0.0,5.0,0.0,0.0,795.0,800.0,800.0,0,0.1725,1200.0,False,COMPLETED
17,LOV,C11,C11,0,A1,H1,2,0.0,240.0,0.0,385.0,0.0,0.0,0.0,0.0,625.0,625.0,0,0.8645,1200.0,False,COMPLETED
18,LOV,D1,D1,0,A1,H1,2,0.0,0.0,60.0,0.0,180.0,0.0,0.0,0.0,240.0,240.0,0,0.8425,1200.0,False,COMPLETED
19,LOV,D3,D3,0,A1,H1,2,45.0,445.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,490.0,0,1.026,1200.0,False,COMPLETED
