,1,2,3,4,5,6,7,8,9,10,11,12
A,0.037,0.034,0.035,0.052,0.035,0.034,0.036,0.035,0.035,0.036,0.037,0.042
B,0.036,0.034,0.034,0.034,0.034,0.034,0.035,0.034,0.035,0.035,0.036,0.036
C,0.039,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038
D,0.039,0.038,0.038,0.038,0.038,0.038,0.039,0.039,0.038,0.038,0.038,0.038
E,0.039,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.039,0.039,0.038
F,0.039,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.039,0.039,0.039,0.039
G,0.039,0.039,0.038,0.038,0.038,0.037,0.039,0.038,0.038,0.039,0.039,0.039
H,0.04,0.038,0.039,0.038,0.038,0.039,0.039,0.038,0.038,0.038,0.038,0.038



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Absorbance %CV



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Dilution Factor,Absorbance %CV
1,Sample 1,,,,1,,,,,,



Protocol
Assay
Sample Wavelength (nm),600
Serial No.,OPTMAA00048
Measurement started at,09 18 20:47:13 2026
Measurement finished at,09 18 20:47:14 2026
