,1,2,3,4,5,6,7,8,9,10,11,12
A,0.599,1.349,1.426,1.183,1.511,1.088,0.682,1.404,1.341,0.631,1.415,1.561
B,1.233,1.042,1.063,0.686,1.286,1.106,0.908,1.629,0.972,1.15,1.599,1.617
C,0.502,1.115,0.566,1.105,0.711,0.947,0.741,0.733,0.358,0.684,0.435,0.625
D,1.569,1.617,0.939,0.697,1.611,1.089,1.743,1.561,1.562,1.451,1.402,1.321
E,2.029,2.225,2.176,2.248,2.11,2.148,2.056,2.228,2.2,2.2,2.015,2.24
F,0.788,0.598,0.679,0.493,0.666,1.727,0.801,1.951,0.747,0.367,0.664,0.733
G,0.043,0.035,0.036,0.036,0.036,0.037,0.036,0.037,0.037,0.035,0.036,0.036
H,0.099,0.037,0.039,0.036,0.069,0.035,0.058,0.036,0.041,0.036,0.05,0.035



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Absorbance %CV



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Dilution Factor,Absorbance %CV
1,Sample 1,,,,1,,,,,,



Protocol
Assay
Sample Wavelength (nm),600
Serial No.,OPTMAA00048
Measurement started at,09 18 20:19:35 2026
Measurement finished at,09 18 20:19:40 2026
