trial_index,drug_name,Drug_MW,Drug_LogP,Drug_TPSA,surf_1_conc,surf_2_conc,drug_conc,surf_1,surf_2,surf_conc,obj_surf_conc
0,IBP,0.2063,0.3073,0.0373,3,1,25.0,s7,s6,4,
1,IBP,0.2063,0.3073,0.0373,1,5,25.0,s4,s4,6,
2,IBP,0.2063,0.3073,0.0373,1,3,25.0,s2,s6,4,
3,IBP,0.2063,0.3073,0.0373,4,2,25.0,s3,s4,6,
4,IBP,0.2063,0.3073,0.0373,6,1,25.0,s8,s2,7,
5,IBP,0.2063,0.3073,0.0373,1,7,25.0,s3,s6,8,
6,IBP,0.2063,0.3073,0.0373,5,4,25.0,s4,s6,9,
7,IBP,0.2063,0.3073,0.0373,2,2,25.0,s4,s8,4,
8,IBP,0.2063,0.3073,0.0373,3,2,25.0,s6,s1,5,
9,IBP,0.2063,0.3073,0.0373,6,3,25.0,s2,s4,9,
10,IBP,0.2063,0.3073,0.0373,2,7,25.0,s1,s8,9,
11,IBP,0.2063,0.3073,0.0373,1,8,25.0,s2,s7,9,
