trial_index,drug_name,Drug_MW,Drug_LogP,Drug_TPSA,surf_1_conc,surf_2_conc,surf_3_conc,drug_conc,surf_1,surf_2,surf_3,surf_conc,obj_surf_conc
0,IBP,0.2063,0.3073,0.0373,12,39,20,25.0,s8,s6,s7,71,
1,IBP,0.2063,0.3073,0.0373,51,4,40,25.0,s3,s2,s6,95,
2,LOV,0.4045,0.4196,0.0728,1,56,0,25.0,s5,s7,s3,57,
3,LOV,0.4045,0.4196,0.0728,28,6,14,25.0,s3,s3,s8,48,
4,DCF,0.2962,0.4364,0.0493,27,63,3,25.0,s1,s4,s5,93,
5,DCF,0.2962,0.4364,0.0493,40,29,22,25.0,s6,s8,s7,91,
6,GLV,0.3528,0.281,0.0711,5,24,18,25.0,s1,s1,s6,47,
7,GLV,0.3528,0.281,0.0711,10,1,36,25.0,s6,s5,s1,47,
8,IBP,0.2063,0.3073,0.0373,4,15,50,25.0,s4,s4,s1,69,
9,IBP,0.2063,0.3073,0.0373,37,17,32,25.0,s3,s4,s5,86,
10,LOV,0.4045,0.4196,0.0728,30,3,54,25.0,s1,s5,s5,87,
11,LOV,0.4045,0.4196,0.0728,22,37,27,25.0,s4,s7,s3,86,
12,DCF,0.2962,0.4364,0.0493,59,21,6,25.0,s4,s1,s8,86,
13,DCF,0.2962,0.4364,0.0493,10,78,9,25.0,s2,s8,s3,97,
14,GLV,0.3528,0.281,0.0711,22,17,16,25.0,s5,s7,s3,55,
15,GLV,0.3528,0.281,0.0711,31,35,24,25.0,s5,s4,s1,90,
16,IBP,0.2063,0.3073,0.0373,50,0,13,25.0,s6,s1,s6,63,
17,IBP,0.2063,0.3073,0.0373,8,46,20,25.0,s8,s6,s4,74,
18,LOV,0.4045,0.4196,0.0728,20,62,1,25.0,s6,s8,s3,83,
19,LOV,0.4045,0.4196,0.0728,0,30,25,25.0,s6,s7,s2,55,
20,DCF,0.2962,0.4364,0.0493,63,14,9,25.0,s4,s4,s1,86,
21,DCF,0.2962,0.4364,0.0493,41,22,34,25.0,s3,s7,s7,97,
22,GLV,0.3528,0.281,0.0711,28,39,29,25.0,s5,s6,s1,96,
23,GLV,0.3528,0.281,0.0711,23,20,53,25.0,s4,s4,s5,96,
24,IBP,0.2063,0.3073,0.0373,18,9,36,25.0,s5,s1,s1,63,
25,IBP,0.2063,0.3073,0.0373,24,12,13,25.0,s1,s6,s8,49,
26,LOV,0.4045,0.4196,0.0728,33,41,21,25.0,s7,s2,s3,95,
27,LOV,0.4045,0.4196,0.0728,47,51,1,25.0,s1,s8,s6,99,
28,DCF,0.2962,0.4364,0.0493,48,19,15,25.0,s4,s2,s2,82,
29,DCF,0.2962,0.4364,0.0493,19,68,5,25.0,s2,s6,s5,92,
30,GLV,0.3528,0.281,0.0711,7,27,25,25.0,s1,s2,s1,59,
31,GLV,0.3528,0.281,0.0711,65,9,11,25.0,s7,s4,s4,85,
