trial_index,drug_name,Drug_MW,Drug_LogP,Drug_TPSA,surf_1_conc,surf_2_conc,drug_conc,surf_1,surf_2,surf_conc,obj_surf_conc
104,IBP,0.2063,0.3073,0.0373,19,0,25.0,s7,s6,19,
105,LOV,0.4045,0.4196,0.0728,8,19,25.0,s4,s8,27,
106,DCF,0.2962,0.4364,0.0493,29,0,25.0,s7,s4,29,
107,GLV,0.3528,0.281,0.0711,8,28,25.0,s4,s8,36,
108,IBP,0.2063,0.3073,0.0373,19,0,25.0,s7,s6,19,
109,LOV,0.4045,0.4196,0.0728,9,19,25.0,s4,s8,28,
110,DCF,0.2962,0.4364,0.0493,29,0,25.0,s7,s4,29,
111,GLV,0.3528,0.281,0.0711,9,26,25.0,s4,s8,35,
112,IBP,0.2063,0.3073,0.0373,19,0,25.0,s7,s6,19,
113,LOV,0.4045,0.4196,0.0728,8,15,25.0,s4,s8,23,
114,DCF,0.2962,0.4364,0.0493,29,0,25.0,s7,s4,29,
115,GLV,0.3528,0.281,0.0711,8,33,25.0,s4,s8,41,
116,IBP,0.2063,0.3073,0.0373,19,0,25.0,s7,s6,19,
117,LOV,0.4045,0.4196,0.0728,8,18,25.0,s4,s8,26,
118,DCF,0.2962,0.4364,0.0493,29,0,25.0,s7,s4,29,
119,GLV,0.3528,0.281,0.0711,8,33,25.0,s4,s8,41,
