trial_index,drug_name,Drug_MW,Drug_LogP,Drug_TPSA,surf_1_conc,surf_2_conc,drug_conc,surf_1,surf_2,surf_conc,obj_surf_conc
0,IBP,0.2063,0.3073,0.0373,29,6,25.0,s7,s6,35,
1,IBP,0.2063,0.3073,0.0373,6,44,25.0,s4,s4,50,
2,IBP,0.2063,0.3073,0.0373,4,27,25.0,s2,s6,31,
3,IBP,0.2063,0.3073,0.0373,91,1,25.0,s1,s2,92,
4,IBP,0.2063,0.3073,0.0373,32,14,25.0,s3,s4,46,
5,IBP,0.2063,0.3073,0.0373,18,76,25.0,s8,s1,94,
6,IBP,0.2063,0.3073,0.0373,59,3,25.0,s8,s2,62,
7,IBP,0.2063,0.3073,0.0373,2,66,25.0,s3,s6,68,
8,IBP,0.2063,0.3073,0.0373,48,31,25.0,s4,s6,79,
9,IBP,0.2063,0.3073,0.0373,12,18,25.0,s4,s8,30,
10,IBP,0.2063,0.3073,0.0373,22,10,25.0,s6,s1,32,
11,IBP,0.2063,0.3073,0.0373,55,24,25.0,s2,s4,79,
12,IBP,0.2063,0.3073,0.0373,12,61,25.0,s1,s8,73,
13,IBP,0.2063,0.3073,0.0373,38,48,25.0,s1,s1,86,
14,IBP,0.2063,0.3073,0.0373,1,75,25.0,s2,s7,76,
15,IBP,0.2063,0.3073,0.0373,57,12,25.0,s1,s3,69,
16,IBP,0.2063,0.3073,0.0373,49,35,25.0,s8,s5,84,
17,IBP,0.2063,0.3073,0.0373,15,22,25.0,s2,s5,37,
18,IBP,0.2063,0.3073,0.0373,24,5,25.0,s2,s2,29,
19,IBP,0.2063,0.3073,0.0373,10,54,25.0,s3,s7,64,
20,IBP,0.2063,0.3073,0.0373,54,17,25.0,s1,s5,71,
21,IBP,0.2063,0.3073,0.0373,40,43,25.0,s6,s4,83,
22,IBP,0.2063,0.3073,0.0373,30,2,25.0,s3,s8,32,
23,IBP,0.2063,0.3073,0.0373,63,25,25.0,s1,s5,88,
24,IBP,0.2063,0.3073,0.0373,9,40,25.0,s7,s4,49,
25,IBP,0.2063,0.3073,0.0373,41,50,25.0,s6,s3,91,
26,IBP,0.2063,0.3073,0.0373,5,32,25.0,s6,s3,37,
27,IBP,0.2063,0.3073,0.0373,89,8,25.0,s8,s1,97,
28,IBP,0.2063,0.3073,0.0373,34,20,25.0,s2,s7,54,
29,IBP,0.2063,0.3073,0.0373,16,83,25.0,s7,s2,99,
30,IBP,0.2063,0.3073,0.0373,72,15,25.0,s8,s2,87,
31,IBP,0.2063,0.3073,0.0373,14,53,25.0,s6,s1,67,
