trial_index,arm_name,trial_status,generation_node,obj_surf_conc,Drug_MW,Drug_LogP,Drug_TPSA,surf_1_conc,surf_2_conc,surf_3_conc,drug_conc,surf_1,surf_2,surf_3
0,0_0,COMPLETED,GenerationStep_0,100.0,0.2063,0.3073,0.0373,12,39,20,25.0,s8,s6,s7
1,1_0,COMPLETED,GenerationStep_0,95.0,0.2063,0.3073,0.0373,51,4,40,25.0,s3,s2,s6
2,2_0,COMPLETED,GenerationStep_0,100.0,0.4045,0.4196,0.0728,1,56,0,25.0,s5,s7,s3
3,3_0,COMPLETED,GenerationStep_0,100.0,0.4045,0.4196,0.0728,28,6,14,25.0,s3,s3,s8
4,4_0,COMPLETED,GenerationStep_0,100.0,0.2962,0.4364,0.0493,27,63,3,25.0,s1,s4,s5
5,5_0,COMPLETED,GenerationStep_0,91.0,0.2962,0.4364,0.0493,40,29,22,25.0,s6,s8,s7
6,6_0,COMPLETED,GenerationStep_0,100.0,0.3528,0.281,0.0711,5,24,18,25.0,s1,s1,s6
7,7_0,COMPLETED,GenerationStep_0,100.0,0.3528,0.281,0.0711,10,1,36,25.0,s6,s5,s1
8,8_0,COMPLETED,GenerationStep_0,100.0,0.2063,0.3073,0.0373,4,15,50,25.0,s4,s4,s1
9,9_0,COMPLETED,GenerationStep_0,86.0,0.2063,0.3073,0.0373,37,17,32,25.0,s3,s4,s5
10,10_0,COMPLETED,GenerationStep_0,100.0,0.4045,0.4196,0.0728,30,3,54,25.0,s1,s5,s5
11,11_0,COMPLETED,GenerationStep_0,100.0,0.4045,0.4196,0.0728,22,37,27,25.0,s4,s7,s3
12,12_0,COMPLETED,GenerationStep_0,100.0,0.2962,0.4364,0.0493,59,21,6,25.0,s4,s1,s8
13,13_0,COMPLETED,GenerationStep_0,97.0,0.2962,0.4364,0.0493,10,78,9,25.0,s2,s8,s3
14,14_0,COMPLETED,GenerationStep_0,100.0,0.3528,0.281,0.0711,22,17,16,25.0,s5,s7,s3
15,15_0,COMPLETED,GenerationStep_0,100.0,0.3528,0.281,0.0711,31,35,24,25.0,s5,s4,s1
16,16_0,COMPLETED,GenerationStep_0,63.0,0.2063,0.3073,0.0373,50,0,13,25.0,s6,s1,s6
17,17_0,COMPLETED,GenerationStep_0,74.0,0.2063,0.3073,0.0373,8,46,20,25.0,s8,s6,s4
18,18_0,COMPLETED,GenerationStep_0,100.0,0.4045,0.4196,0.0728,20,62,1,25.0,s6,s8,s3
19,19_0,COMPLETED,GenerationStep_0,100.0,0.4045,0.4196,0.0728,0,30,25,25.0,s6,s7,s2
20,20_0,COMPLETED,GenerationStep_0,86.0,0.2962,0.4364,0.0493,63,14,9,25.0,s4,s4,s1
21,21_0,COMPLETED,GenerationStep_0,97.0,0.2962,0.4364,0.0493,41,22,34,25.0,s3,s7,s7
22,22_0,COMPLETED,GenerationStep_0,100.0,0.3528,0.281,0.0711,28,39,29,25.0,s5,s6,s1
23,23_0,COMPLETED,GenerationStep_0,100.0,0.3528,0.281,0.0711,23,20,53,25.0,s4,s4,s5
24,24_0,COMPLETED,GenerationStep_0,100.0,0.2063,0.3073,0.0373,18,9,36,25.0,s5,s1,s1
25,25_0,COMPLETED,GenerationStep_0,49.0,0.2063,0.3073,0.0373,24,12,13,25.0,s1,s6,s8
26,26_0,COMPLETED,GenerationStep_0,100.0,0.4045,0.4196,0.0728,33,41,21,25.0,s7,s2,s3
27,27_0,COMPLETED,GenerationStep_0,99.0,0.4045,0.4196,0.0728,47,51,1,25.0,s1,s8,s6
28,28_0,COMPLETED,GenerationStep_0,100.0,0.2962,0.4364,0.0493,48,19,15,25.0,s4,s2,s2
29,29_0,COMPLETED,GenerationStep_0,100.0,0.2962,0.4364,0.0493,19,68,5,25.0,s2,s6,s5
30,30_0,COMPLETED,GenerationStep_0,100.0,0.3528,0.281,0.0711,7,27,25,25.0,s1,s2,s1
31,31_0,COMPLETED,GenerationStep_0,100.0,0.3528,0.281,0.0711,65,9,11,25.0,s7,s4,s4
32,32_0,RUNNING,GenerationStep_1,,0.2063,0.3073,0.0373,24,10,13,25.0,s1,s6,s8
33,33_0,RUNNING,GenerationStep_1,,0.2063,0.3073,0.0373,24,13,11,25.0,s1,s6,s8
34,34_0,RUNNING,GenerationStep_1,,0.4045,0.4196,0.0728,24,12,13,25.0,s1,s6,s8
35,35_0,RUNNING,GenerationStep_1,,0.4045,0.4196,0.0728,24,15,9,25.0,s1,s6,s8
36,36_0,RUNNING,GenerationStep_1,,0.2962,0.4364,0.0493,24,13,13,25.0,s1,s6,s8
37,37_0,RUNNING,GenerationStep_1,,0.2962,0.4364,0.0493,24,13,14,25.0,s1,s6,s8
38,38_0,RUNNING,GenerationStep_1,,0.3528,0.281,0.0711,24,12,18,25.0,s1,s6,s8
39,39_0,RUNNING,GenerationStep_1,,0.3528,0.281,0.0711,24,11,13,25.0,s1,s6,s8
