,1,2,3,4,5,6,7,8,9,10,11,12
A,0.044,0.054,0.044,0.116,0.043,0.042,0.676,0.652,0.58,0.292,1.616,0.816
B,0.041,0.049,0.042,0.042,0.045,0.041,0.257,0.073,0.08,0.281,0.045,0.758
C,0.044,0.04,0.049,0.036,0.042,0.056,0.042,0.042,0.044,0.671,0.533,0.461
D,0.041,0.041,0.038,0.04,0.051,0.048,0.054,0.053,0.044,0.059,0.038,0.378
E,0.791,1.755,1.528,0.11,0.066,0.047,1.547,0.23,0.086,0.15,0.065,0.058
F,1.529,1.187,1.334,0.038,0.044,0.042,0.044,0.042,0.042,0.041,0.041,0.04
G,0.04,0.041,0.047,0.041,0.042,0.04,0.04,0.043,0.04,0.042,0.04,0.041
H,0.042,0.041,0.045,0.043,0.04,0.049,0.05,0.04,0.04,0.041,0.041,0.04



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Absorbance %CV



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Dilution Factor,Absorbance %CV
1,Sample 1,,,,1,,,,,,



Protocol
Assay
Sample Wavelength (nm),600
Serial No.,OPTMAA00048
Measurement started at,12 18 18:23:08 2025
Measurement finished at,12 18 18:23:11 2025
