,1,2,3,4,5,6,7,8,9,10,11,12
A,0.044,0.052,0.044,0.113,0.043,0.043,0.729,0.662,0.614,0.275,1.6,0.824
B,0.04,0.038,0.042,0.041,0.046,0.042,0.256,0.078,0.084,0.315,0.045,0.771
C,0.046,0.041,0.051,0.035,0.044,0.057,0.043,0.042,0.046,0.754,0.595,0.478
D,0.041,0.042,0.039,0.04,0.05,0.051,0.054,0.053,0.045,0.06,0.038,0.369
E,0.79,1.819,1.471,0.106,0.065,0.047,1.583,0.285,0.076,0.138,0.069,0.057
F,0.878,0.846,2.495,0.046,0.044,0.042,0.045,0.042,0.042,0.041,0.042,0.04
G,0.04,0.041,0.05,0.04,0.043,0.04,0.042,0.044,0.04,0.042,0.04,0.04
H,0.042,0.041,0.045,0.044,0.04,0.047,0.048,0.04,0.04,0.041,0.041,0.04



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Absorbance %CV



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Dilution Factor,Absorbance %CV
1,Sample 1,,,,1,,,,,,



Protocol
Assay
Sample Wavelength (nm),600
Serial No.,OPTMAA00048
Measurement started at,12 17 18:36:11 2025
Measurement finished at,12 17 18:36:14 2025
