,1,2,3,4,5,6,7,8,9,10,11,12
A,0.048,0.046,0.04,0.355,0.04,0.041,0.618,0.566,0.541,0.365,1.581,0.837
B,0.037,0.035,0.038,0.038,0.042,0.04,0.189,0.079,0.05,0.087,0.044,0.801
C,0.039,0.039,0.043,0.035,0.035,0.048,0.043,0.039,0.04,0.978,0.492,0.527
D,0.04,0.039,0.039,0.04,0.039,0.038,0.054,0.044,0.045,0.056,0.037,0.096
E,0.044,0.037,0.036,0.039,0.039,0.04,0.039,0.043,0.039,0.039,0.04,0.041
F,0.04,0.038,0.038,0.039,0.043,0.041,0.038,0.038,0.039,0.04,0.039,0.039
G,0.039,0.039,0.04,0.039,0.039,0.039,0.041,0.041,0.038,0.039,0.039,0.039
H,0.04,0.038,0.041,0.039,0.04,0.043,0.04,0.039,0.04,0.039,0.041,0.039



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Absorbance %CV



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Dilution Factor,Absorbance %CV
1,Sample 1,,,,1,,,,,,



Protocol
Assay
Sample Wavelength (nm),600
Serial No.,OPTMAA00048
Measurement started at,09 30 15:21:55 2025
Measurement finished at,09 30 15:21:57 2025
