trial_index,drug_name,well_slot,deep_well_slot,rack_1000,well_1000,well_50,replicates,s1,s2,s3,s4,s5,s6,s7,s8,total_vol,obj_total_vol
0,IBP,A1,A1,0,A1,A1,2,0.0,0.0,0.0,0.0,675.0,0.0,405.0,0.0,1080.0,
1,IBP,A3,A3,0,A1,A1,2,315.0,770.0,0.0,0.0,0.0,0.0,0.0,0.0,1085.0,
2,IBP,A5,A5,0,A1,A1,2,0.0,0.0,205.0,0.0,115.0,0.0,0.0,0.0,320.0,
3,IBP,A7,A7,0,A1,A1,2,0.0,0.0,700.0,0.0,0.0,0.0,0.0,365.0,1065.0,
4,IBP,A9,A9,0,A1,A1,2,0.0,455.0,0.0,120.0,0.0,0.0,0.0,0.0,575.0,
5,IBP,A11,A11,0,A1,A1,2,820.0,0.0,0.0,0.0,0.0,315.0,0.0,0.0,1135.0,
6,IBP,B1,B1,0,A1,A1,2,0.0,395.0,175.0,0.0,0.0,0.0,0.0,0.0,570.0,
7,IBP,B3,B3,0,A1,A1,2,95.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,130.0,
8,IBP,B5,B5,0,A1,A1,2,0.0,0.0,0.0,115.0,765.0,0.0,0.0,0.0,880.0,
9,IBP,B7,B7,0,A1,A1,2,0.0,0.0,0.0,0.0,615.0,525.0,0.0,0.0,1140.0,
10,IBP,B9,B9,0,A1,A1,2,0.0,0.0,0.0,0.0,0.0,395.0,615.0,0.0,1010.0,
11,IBP,B11,B11,0,A1,A1,2,65.0,0.0,0.0,1030.0,0.0,0.0,0.0,0.0,1095.0,
