trial_index,drug_name,well_slot,deep_well_slot,rack_1000,well_1000,well_50,replicates,s1,s2,s3,s4,s5,s6,s7,s8,original_total_vol,reported_vol,success,absorbance,prior_best_vol,is_new_record,status
0,IBP,A1,A1,0,A1,A1,2,0.0,320.0,380.0,0.0,0.0,0.0,0.0,0.0,700.0,10500.0,0,0.074,1200.0,False,COMPLETED
1,IBP,A3,A3,0,A1,A1,2,0.0,0.0,570.0,0.0,0.0,0.0,0.0,230.0,800.0,12000.0,0,0.0705,1200.0,False,COMPLETED
2,IBP,A5,A5,0,A1,A1,2,0.0,0.0,0.0,0.0,0.0,325.0,30.0,0.0,355.0,5325.0,0,0.0675,1200.0,False,COMPLETED
3,IBP,A7,A7,0,A1,A1,2,0.0,0.0,845.0,0.0,0.0,0.0,80.0,0.0,925.0,925.0,1,0.035,1200.0,True,COMPLETED
4,IBP,A9,A9,0,A1,A1,2,0.0,370.0,0.0,185.0,0.0,0.0,0.0,0.0,555.0,555.0,1,0.049,1200.0,True,COMPLETED
5,IBP,A11,A11,0,A1,A1,2,0.0,0.0,0.0,0.0,500.0,430.0,0.0,0.0,930.0,13950.0,0,0.0835,1200.0,False,COMPLETED
6,IBP,B1,B1,0,A1,A1,2,0.0,0.0,0.0,0.0,550.0,0.0,225.0,0.0,775.0,11625.0,0,0.079,1200.0,False,COMPLETED
7,IBP,B3,B3,0,A1,A1,2,75.0,0.0,585.0,0.0,0.0,0.0,0.0,0.0,660.0,9900.0,0,0.0755,1200.0,False,COMPLETED
8,IBP,B5,B5,0,A1,A1,2,0.0,0.0,50.0,0.0,895.0,0.0,0.0,0.0,945.0,14175.0,0,0.089,1200.0,False,COMPLETED
9,IBP,B7,B7,0,A1,A1,2,0.0,0.0,165.0,0.0,480.0,0.0,0.0,0.0,645.0,9675.0,0,0.0685,1200.0,False,COMPLETED
10,IBP,B9,B9,0,A1,A1,2,0.0,0.0,0.0,0.0,0.0,0.0,95.0,155.0,250.0,250.0,1,0.0365,1200.0,True,COMPLETED
11,IBP,B11,B11,0,A1,A1,2,55.0,0.0,0.0,460.0,0.0,0.0,0.0,0.0,515.0,7725.0,0,0.0995,1200.0,False,COMPLETED
12,IBP,C1,C1,0,A1,A1,2,260.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,5400.0,0,0.067,1200.0,False,COMPLETED
13,IBP,C3,C3,0,A1,A1,2,670.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,740.0,11100.0,0,0.0695,1200.0,False,COMPLETED
14,IBP,C5,C5,0,A1,A1,2,0.0,0.0,0.0,95.0,400.0,0.0,0.0,0.0,495.0,7425.0,0,0.115,1200.0,False,COMPLETED
